"No.","Time","Source","Destination","Protocol","Length","Info"
"336","4.363869","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=30798 Ack=10967 Win=129856 Len=0 TSval=330883000 TSecr=455874529"
"337","4.363870","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=30798 Ack=11110 Win=129728 Len=0 TSval=330883000 TSecr=455874529"
"338","4.364351","17.253.55.205","192.168.0.100","TCP","66","80  >  52037 [ACK] Seq=3336 Ack=302 Win=64896 Len=0 TSval=1838900190 TSecr=330882985"
"339","4.364694","54.187.107.148","192.168.0.100","TLSv1.2","116","Application Data"
"340","4.364757","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=30798 Ack=11160 Win=131008 Len=0 TSval=330883001 TSecr=455874534"
"341","4.364884","192.168.0.100","54.187.107.148","TLSv1.2","116","Application Data"
"342","4.370104","192.168.0.100","54.187.107.148","TLSv1.2","144","Application Data"
"343","4.370192","192.168.0.100","54.187.107.148","TLSv1.2","262","Application Data"
"344","4.370301","192.168.0.100","54.187.107.148","TLSv1.2","245","Application Data"
"345","4.370404","192.168.0.100","54.187.107.148","TLSv1.2","200","Application Data"
"346","4.370523","192.168.0.100","54.187.107.148","TLSv1.2","200","Application Data"
"347","4.370524","192.168.0.100","54.187.107.148","TLSv1.2","176","Application Data"
"348","4.370574","192.168.0.100","54.187.107.148","TLSv1.2","173","Application Data"
"349","4.372854","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=11160 Ack=30848 Win=72064 Len=0 TSval=455874546 TSecr=330883001"
"350","4.380938","192.168.0.100","54.187.107.148","TLSv1.2","162","Application Data"
"351","4.381110","54.187.107.148","192.168.0.100","TLSv1.2","116","Application Data"
"352","4.381192","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=31882 Ack=11210 Win=131008 Len=0 TSval=330883016 TSecr=455874555"
"353","4.381322","192.168.0.100","54.187.107.148","UDP","165","58395  >  8801 Len=123"
